#{"t_start": 1733096099.8957553, "env_id": "None"}
r,l,t
-0.73322916,28,4773.452962
-0.73322916,28,4773.453011
-0.73322916,28,4773.45302
-0.73322916,28,4773.453027
-0.73322916,28,4773.453034
-0.73322916,28,4773.453041
-0.73322916,28,4773.453048
-0.73322916,28,4773.453054
-16.444593,512,4984.809845
-16.444593,512,4984.824879
-16.444593,512,4984.824921
-16.444593,512,4984.82493
-16.444593,512,4984.824938
-16.444593,512,4984.824944
-16.444593,512,4984.824951
-16.444593,512,4984.824958
-17.296886,512,4997.340272
-17.296886,512,4997.340326
-17.296886,512,4997.340336
-17.296886,512,4997.340343
-17.296886,512,4997.340349
-17.296886,512,4997.340356
-17.296886,512,4997.340362
-17.296886,512,4997.340369
-17.384373,512,5010.120885
-17.384373,512,5010.120947
-17.384373,512,5010.120957
-17.384373,512,5010.120964
-17.384373,512,5010.12097
-17.384373,512,5010.120977
-17.384373,512,5010.120984
-17.384373,512,5010.121007
-21.001411,512,5233.343309
-21.001411,512,5233.34337
-21.001411,512,5233.34338
-21.001411,512,5233.343387
-21.001411,512,5233.343394
-21.001411,512,5233.343401
-21.001411,512,5233.343407
-21.001411,512,5233.343426
-27.358126,512,5245.916468
-27.358126,512,5245.916519
-27.358126,512,5245.916528
-27.358126,512,5245.916536
-27.358126,512,5245.916542
-27.358126,512,5245.916548
-27.358126,512,5245.916555
-27.358126,512,5245.916575
-30.485685,512,5258.437105
-30.485685,512,5258.437164
-30.485685,512,5258.437175
-30.485685,512,5258.437183
-30.485685,512,5258.43719
-30.485685,512,5258.437197
-30.485685,512,5258.437204
-30.485685,512,5258.437226
-19.422604,512,5466.858632
-19.422604,512,5466.858683
-19.422604,512,5466.875714
-19.422604,512,5466.875777
-19.422604,512,5466.875787
-19.422604,512,5466.875794
-19.422604,512,5466.875801
-19.422604,512,5466.87582
-16.487299,512,5479.19732
-16.487299,512,5479.197368
-16.487299,512,5479.197377
-16.487299,512,5479.197384
-16.487299,512,5479.197391
-16.487299,512,5479.197398
-16.487299,512,5479.197413
-16.487299,512,5479.197437
-16.459898,512,5491.578451
-16.459898,512,5491.578503
-16.459898,512,5491.578512
-16.459898,512,5491.578519
-16.459898,512,5491.578526
-16.459898,512,5491.578533
-16.459898,512,5491.578539
-16.459898,512,5491.578558
-0.3445884,11,5741.347597
-0.3445884,11,5741.347648
-0.3445884,11,5741.347657
-0.3445884,11,5741.347664
-0.3445884,11,5741.347671
-0.3445884,11,5741.347677
-0.3445884,11,5741.347684
-0.3445884,11,5741.347691
-2.057239,63,5743.371871
-2.057239,63,5743.371919
-2.057239,63,5743.371932
-2.057239,63,5743.371939
-2.057239,63,5743.371945
-2.057239,63,5743.371952
-2.057239,63,5743.371958
-2.057239,63,5743.371965
-0.32014012,11,5744.229571
-0.32014012,11,5744.229622
-0.32014012,11,5744.229631
-0.32014012,11,5744.229638
-0.32014012,11,5744.229645
-0.32014012,11,5744.229651
-0.32014012,11,5744.229658
-0.32014012,11,5744.229664
-0.35977256,11,6022.211812
-0.35977256,11,6022.211862
-0.35977256,11,6022.211871
-0.35977256,11,6022.211878
-0.35977256,11,6022.211885
-0.35977256,11,6022.211891
-0.35977256,11,6022.211898
-0.35977256,11,6022.211904
-2.1351352,67,6024.360788
-2.1351352,67,6024.360843
-2.1351352,67,6024.360852
-2.1351352,67,6024.360859
-2.1351352,67,6024.360866
-2.1351352,67,6024.360873
-2.1351352,67,6024.360879
-2.1351352,67,6024.360885
-0.24127793,9,6025.212491
-0.24127793,9,6025.212544
-0.24127793,9,6025.212553
-0.24127793,9,6025.21256
-0.24127793,9,6025.212567
-0.24127793,9,6025.212574
-0.24127793,9,6025.21258
-0.24127793,9,6025.212586
-0.30050278,10,6239.904528
-0.30050278,10,6239.904578
-0.30050278,10,6239.904588
-0.30050278,10,6239.904595
-0.30050278,10,6239.904601
-0.30050278,10,6239.904608
-0.30050278,10,6239.904615
-0.30050278,10,6239.904623
-0.35196865,11,6240.797686
-0.35196865,11,6240.797732
-0.35196865,11,6240.797741
-0.35196865,11,6240.797748
-0.35196865,11,6240.797755
-0.35196865,11,6240.797761
-0.35196865,11,6240.797768
-0.35196865,11,6240.797774
-1.585228,52,6242.545229
-1.585228,52,6242.545281
-1.585228,52,6242.54529
-1.585228,52,6242.545298
-1.585228,52,6242.545304
-1.585228,52,6242.545311
-1.585228,52,6242.545318
-1.585228,52,6242.545324
-0.34468162,11,6562.838665
-0.34468162,11,6562.83872
-0.34468162,11,6562.83873
-0.34468162,11,6562.838737
-0.34468162,11,6562.838744
-0.34468162,11,6562.838751
-0.34468162,11,6562.838757
-0.34468162,11,6562.838764
-0.37264264,11,6563.777848
-0.37264264,11,6563.777912
-0.37264264,11,6563.777922
-0.37264264,11,6563.777933
-0.37264264,11,6563.777942
-0.37264264,11,6563.777951
-0.37264264,11,6563.777958
-0.37264264,11,6563.777965
-1.2023065,37,6565.275727
-1.2023065,37,6565.275775
-1.2023065,37,6565.275785
-1.2023065,37,6565.275792
-1.2023065,37,6565.275798
-1.2023065,37,6565.275804
-1.2023065,37,6565.275811
-1.2023065,37,6565.275817
-0.62255776,18,6892.635416
-0.62255776,18,6892.635467
-0.62255776,18,6892.635476
-0.62255776,18,6892.635483
-0.62255776,18,6892.63549
-0.62255776,18,6892.635496
-0.62255776,18,6892.635503
-0.62255776,18,6892.635509
-0.85755,26,6893.819795
-0.85755,26,6893.819843
-0.85755,26,6893.819853
-0.85755,26,6893.819859
-0.85755,26,6893.819865
-0.85755,26,6893.819872
-0.85755,26,6893.819878
-0.85755,26,6893.819885
-0.6852162,19,6894.866541
-0.6852162,19,6894.866589
-0.6852162,19,6894.866598
-0.6852162,19,6894.866605
-0.6852162,19,6894.866612
-0.6852162,19,6894.866618
-0.6852162,19,6894.866624
-0.6852162,19,6894.866631
-0.7006813,18,7186.159141
