time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/std,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/n_updates,train/approx_kl,train/explained_variance,train/learning_rate,train/loss,train/value_loss,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,eval/mean_reward,eval/success_rate,eval/mean_ep_length
1213440,1185,411,2950,1.9769564867019653,0.76396484375,-0.10791956778848544,0.2,-17.97812764644623,11840,0.6769122,0.8660780638456345,0.00018448101570466428,-0.20076847076416016,0.0070823202127940025,-103.7602310180664,0.3,416.03,,,
1214464,1186,411,2953,1.9820319414138794,0.744921875,-0.10501251450041309,0.2,-18.01515920162201,11850,0.47052315,0.16879922151565552,0.00018448101570466428,-0.14705468714237213,0.09621035382442641,-106.53096008300781,0.28,424.29,,,
1215488,1187,411,2955,1.9870071411132812,0.72783203125,-0.07907154336571694,0.2,-18.045493328571318,11860,0.69789577,0.5614400506019592,0.00018448101570466428,-0.14797016978263855,0.031730388558935375,-107.5850601196289,0.27,428.57,,,
1216512,1188,411,2958,1.990033507347107,0.69189453125,-0.08509219801053405,0.2,-18.065674483776093,11870,0.4255504,0.8565377295017242,0.00018448101570466428,-0.1483306586742401,0.01435909486754099,-106.89753723144531,0.28,424.23,,,
1217536,1189,411,2960,1.9986215829849243,0.70390625,-0.06609170811716467,0.2,-18.089162230491638,11880,0.404662,0.6756013929843903,0.00018448101570466428,-0.13622455298900604,0.012802343662042404,-106.20695495605469,0.29,420.67,,,
1218560,1190,411,2962,2.0083982944488525,0.7271484375,-0.07579709567362443,0.2,-18.130586671829224,11890,0.43264526,0.6868441700935364,0.00018448101570466428,-0.17850549519062042,0.012831160522182472,-105.68175506591797,0.28,425.42,,,
1219584,1191,411,2964,2.010698080062866,0.69306640625,-0.09977682585013099,0.2,-18.15918633937836,11900,0.33276075,0.9650117829442024,0.00018448101570466428,-0.17778727412223816,0.0036361057733302004,-105.02534484863281,0.29,421.77,,,
1220608,1192,411,2967,2.0147345066070557,0.69384765625,-0.07661218688590452,0.2,-18.164814472198486,11910,0.37278336,0.23823463916778564,0.00018448101570466428,-0.17942674458026886,0.0249192130722804,-103.38553619384766,0.29,421.77,,,
1221632,1193,411,2969,2.015887975692749,0.6841796875,-0.079212821344845,0.2,-18.18607896566391,11920,0.4392084,0.7843240052461624,0.00018448101570466428,-0.1648818999528885,0.00927375952960574,-100.10441589355469,0.3,420.1,,,
1222656,1194,411,2972,2.021381378173828,0.65068359375,-0.05630843813996762,0.2,-18.202908432483675,11930,0.38834384,0.7454589605331421,0.00018448101570466428,-0.14105224609375,0.011159493701416067,-99.2113265991211,0.31,416.2,,,
1223680,1195,411,2974,2.0345261096954346,0.7138671875,-0.06336903537157923,0.2,-18.237979972362517,11940,1.1000439,0.48033493757247925,0.00018448101570466428,-0.13691596686840057,0.017452329554362222,-98.72810363769531,0.31,413.7,,,
1224704,1196,411,2977,2.041110038757324,0.65400390625,-0.07087645651772619,0.2,-18.287964987754822,11950,0.36141056,0.9152706786990166,0.00018448101570466428,-0.14082692563533783,0.009784227573982207,-99.49755096435547,0.32,410.5,,,
1225728,1197,411,2979,2.0478641986846924,0.688671875,-0.07847114079049788,0.2,-18.31289223432541,11960,0.3847959,0.9541124403476715,0.00018448101570466428,-0.1589243859052658,0.006650352742144605,-99.97933959960938,0.32,411.54,,,
1226752,1198,411,2981,2.046555519104004,0.685546875,-0.0862105715321377,0.2,-18.324683821201326,11970,0.34935915,0.4437693953514099,0.00018448101570466428,-0.17005005478858948,0.056288559490349145,-99.97933959960938,0.32,411.54,,,
1227776,1199,411,2983,2.048675060272217,0.71357421875,-0.0937760753557086,0.2,-18.315495693683623,11980,0.30564418,0.9159083589911461,0.00018448101570466428,-0.18310174345970154,0.020277923002140597,-100.29558563232422,0.32,411.54,,,
1228800,1200,411,2985,2.049696683883667,0.7013671875,-0.09035780110862106,0.2,-18.317614603042603,11990,0.39193875,0.9175856038928032,0.00018448101570466428,-0.1523558348417282,0.010516713015385903,-100.39232635498047,0.33,411.41,,,
1229824,1201,411,2988,2.0593533515930176,0.69384765625,-0.07746733211679384,0.2,-18.34027589559555,12000,0.5628521,0.9472841769456863,0.00018448101570466428,-0.16978898644447327,0.006286850092874374,-100.40274047851562,0.33,411.41,,,
1230848,1202,411,2990,2.054684638977051,0.68056640625,-0.10797631461173296,0.2,-18.347122132778168,12010,0.32765976,0.9361757561564445,0.00018448101570466428,-0.20692239701747894,0.0026090253943038986,-98.91879272460938,0.36,403.87,,,
1231872,1203,411,2993,2.0597522258758545,0.74189453125,-0.10595831873361021,0.2,-18.339118218421937,12020,0.4655015,0.5202828049659729,0.00018448101570466428,-0.19506439566612244,0.030811793472093996,-99.25234985351562,0.34,403.48,,,
1232896,1204,411,2995,2.0571658611297607,0.6658203125,-0.08923598697874695,0.2,-18.34701247215271,12030,0.39569592,0.9401240050792694,0.00018448101570466428,-0.1776018589735031,0.0046695550372533035,-99.40203857421875,0.34,403.48,,,
1233920,1205,411,2997,2.0565898418426514,0.72841796875,-0.11960511843208224,0.2,-18.338493859767915,12040,0.3961832,0.977502878755331,0.00018448101570466428,-0.20949292182922363,0.004042377961741295,-98.4416732788086,0.34,403.77,,,
1234944,1206,411,2999,2.0572361946105957,0.69111328125,-0.0953745240927674,0.2,-18.33159133195877,12050,0.47652903,0.987932869233191,0.00018448101570466428,-0.1785903126001358,0.0030585242642700906,-100.91797637939453,0.33,407.86,,,
1235968,1207,411,3002,2.0614824295043945,0.72314453125,-0.10972673493088222,0.2,-18.33805592060089,12060,0.40596113,0.9890843685716391,0.00018448101570466428,-0.18275296688079834,0.0011917003163034678,-101.00279235839844,0.33,407.45,,,
1236992,1208,411,3004,2.0611932277679443,0.6919921875,-0.08874193640658631,0.2,-18.338574302196502,12070,0.49384314,0.9715790692716837,0.00018448101570466428,-0.18987081944942474,0.003759062090830412,-101.00279235839844,0.33,407.45,,,
1238016,1209,411,3007,2.0635621547698975,0.698046875,-0.08393942676484585,0.2,-18.340971922874452,12080,0.38721424,0.9304934665560722,0.00018448101570466428,-0.18913783133029938,0.007310159497137647,-102.29093933105469,0.31,411.28,,,
1239040,1210,411,3009,2.0635931491851807,0.6615234375,-0.07535630080383271,0.2,-18.34286812543869,12090,0.41021305,0.9015632197260857,0.00018448101570466428,-0.15132758021354675,0.010862532789906254,-103.36752319335938,0.31,411.28,,,
1240064,1211,411,3012,2.0680363178253174,0.71181640625,-0.08245627587893978,0.2,-18.351324141025543,12100,0.42796034,0.9828332848846912,0.00018448101570466428,-0.1530294418334961,0.006500055101059843,-108.57406616210938,0.28,421.6,,,
1241088,1212,411,3013,2.0698306560516357,0.69716796875,-0.06919187314342708,0.2,-18.36452077627182,12110,0.39300942,0.958308894187212,0.00018448101570466428,-0.14633683860301971,0.004141802266531158,-108.57406616210938,0.28,421.6,,,
1242112,1213,411,3016,2.0675365924835205,0.72548828125,-0.07461822400800884,0.2,-18.36212228536606,12120,1.6211958,0.9119362458586693,0.00018448101570466428,-0.16565383970737457,0.007362680271035061,-108.43694305419922,0.29,416.86,,,
1243136,1214,411,3018,2.06318998336792,0.67265625,-0.07042968628229573,0.2,-18.339049100875854,12130,0.5128852,0.9504235982894897,0.00018448101570466428,-0.17602629959583282,0.005398381420673104,-108.1668472290039,0.29,414.75,,,
1244160,1215,411,3021,2.066689968109131,0.6958984375,-0.07239157495787367,0.2,-18.329309976100923,12140,0.69336104,0.859597459435463,0.00018448101570466428,-0.17875730991363525,0.012673164968146012,-109.02188110351562,0.27,421.53,,,
1245184,1216,411,3023,2.0671539306640625,0.70791015625,-0.09522923404583708,0.2,-18.34698889255524,12150,0.49804652,0.9302143827080727,0.00018448101570466428,-0.19550685584545135,0.005258863967173966,-108.10491943359375,0.28,417.6,,,
1246208,1217,411,3025,2.07011342048645,0.73154296875,-0.08721475327620283,0.2,-18.351733446121216,12160,0.49932092,0.4636154770851135,0.00018448101570466428,-0.18604570627212524,0.031546507199527694,-107.99817657470703,0.28,417.6,,,
1247232,1218,411,3027,2.0757789611816406,0.74638671875,-0.10641141892410814,0.2,-18.37858122587204,12170,0.5034121,0.9757849127054214,0.00018448101570466428,-0.20864330232143402,0.002690660704683978,-107.73959350585938,0.29,417.31,,,
1248256,1219,411,3031,2.082486391067505,0.7216796875,-0.08048289002617821,0.2,-18.3971764087677,12180,0.728007,0.7699326425790787,0.00018448101570466428,-0.1677965670824051,0.015535202591127017,-107.40269470214844,0.3,413.92,,,
1249280,1220,411,3033,2.0876386165618896,0.69765625,-0.09548124833963811,0.2,-18.41547750234604,12190,0.3793925,0.9105265438556671,0.00018448101570466428,-0.1875191181898117,0.008763881138293073,-107.58782196044922,0.3,413.92,,,
1250000,,,,2.086519718170166,0.7119140625,-0.11201357829850167,0.2,-18.4104532122612,12200,0.42288655,0.8718292564153671,0.00018448101570466428,-0.20606008172035217,0.008826491855143104,,,,-96.90209197998047,0.3,422.6
1250304,1221,409,3053,,,,,,,,,,,,-108.41012573242188,0.29,417.15,,,
1251328,1222,409,3055,2.081406593322754,0.69619140625,-0.09850352623034268,0.2,-18.38702834844589,12210,0.3375973,0.6960993111133575,0.00018448101570466428,-0.19385051727294922,0.008472760017320979,-107.59709930419922,0.3,416.77,,,
1252352,1223,409,3058,2.0939502716064453,0.72705078125,-0.08067182487575338,0.2,-18.39689564704895,12220,0.4636115,0.6691590845584869,0.00018448101570466428,-0.16603051126003265,0.012139325535827084,-106.82777404785156,0.3,416.77,,,
1253376,1224,409,3060,2.0948750972747803,0.7080078125,-0.08830708410823718,0.2,-18.435306882858278,12230,0.40702796,0.9776821993291378,0.00018448101570466428,-0.15868698060512543,0.0014196033069310942,-105.95679473876953,0.31,413.12,,,
1254400,1225,409,3062,2.1052818298339844,0.671875,-0.04792169127613306,0.2,-18.45250585079193,12240,0.28834915,0.6366597414016724,0.00018448101570466428,-0.11543232202529907,0.01403067046048818,-106.0855484008789,0.31,413.12,,,
1255424,1226,409,3064,2.10174822807312,0.6833984375,-0.09613697085296735,0.2,-18.475288474559783,12250,0.43547043,0.9096315801143646,0.00018448101570466428,-0.1980585753917694,0.0025761759379747673,-106.53296661376953,0.3,415.44,,,
1256448,1227,409,3067,2.1032137870788574,0.70517578125,-0.091877013258636,0.2,-18.46499183177948,12260,0.38333678,0.8873692154884338,0.00018448101570466428,-0.16221247613430023,0.005422412092593731,-105.91270446777344,0.29,419.66,,,
1257472,1228,409,3069,2.1009113788604736,0.70576171875,-0.1058301528915763,0.2,-18.464381194114686,12270,0.3692959,0.8873626440763474,0.00018448101570466428,-0.20277482271194458,0.007259006777894683,-105.36812591552734,0.29,417.27,,,
1258496,1229,409,3071,2.101365327835083,0.68564453125,-0.08820737291825935,0.2,-18.459585118293763,12280,0.3279187,0.9048816561698914,0.00018448101570466428,-0.1758723109960556,0.00787675178507925,-106.18148803710938,0.28,421.29,,,
1259520,1230,409,3074,2.094635248184204,0.70517578125,-0.11005914505803957,0.2,-18.435753488540648,12290,0.27238274,0.9671369343996048,0.00018448101570466428,-0.2058587223291397,0.0039787068420992,-107.39559936523438,0.28,422.8,,,
1260544,1231,409,3076,2.1057016849517822,0.69970703125,-0.05931831993511878,0.2,-18.436890733242034,12300,0.35193035,0.7910243421792984,0.00018448101570466428,-0.1350974142551422,0.026358453478314912,-107.8353042602539,0.27,425.76,,,
1261568,1232,409,3078,2.1026766300201416,0.68671875,-0.08506816055160016,0.2,-18.462226736545563,12310,0.40606493,0.8940979689359665,0.00018448101570466428,-0.18695083260536194,0.0018565460759418784,-107.57547760009766,0.27,425.1,,,
1262592,1233,409,3080,2.1046392917633057,0.69609375,-0.08541063991142436,0.2,-18.450232434272767,12320,0.4517973,0.7820264846086502,0.00018448101570466428,-0.1706150621175766,0.00585166885794024,-107.57398223876953,0.27,425.1,,,
1263616,1234,409,3083,2.096917152404785,0.72138671875,-0.11108656346332282,0.2,-18.4369007229805,12330,0.43322605,0.6952337622642517,0.00018448101570466428,-0.18705631792545319,0.006425063482311089,-106.50534057617188,0.28,420.4,,,
1264640,1235,409,3086,2.105717182159424,0.73330078125,-0.09580514759290963,0.2,-18.430647921562194,12340,0.48240805,0.7866765260696411,0.00018448101570466428,-0.1828882098197937,0.010901455504790648,-106.81912231445312,0.28,418.88,,,
1265664,1236,409,3088,2.107811450958252,0.71025390625,-0.08565141772851348,0.2,-18.44821459054947,12350,0.45692474,0.8165372610092163,0.00018448101570466428,-0.13659755885601044,0.008627052041993011,-105.5932846069336,0.28,418.88,,,
1266688,1237,409,3090,2.1040031909942627,0.68134765625,-0.10240570558235049,0.2,-18.43828684091568,12360,0.3943438,0.9243049025535583,0.00018448101570466428,-0.1563720405101776,0.008162820011057193,-105.46961975097656,0.28,418.88,,,
