time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,rollout/success_rate,train/approx_kl,train/explained_variance,train/std,train/loss,train/learning_rate,train/clip_fraction,train/value_loss,train/entropy_loss,train/n_updates,train/clip_range,train/policy_gradient_loss,eval/success_rate,eval/mean_reward,eval/mean_ep_length
385024,254,1514,345.7095031738281,94,512.0,0.0,9.168631,0.8751620799303055,0.009990481659770012,0.33994266390800476,0.0004,0.5,0.12889666855335236,28.68449115753174,93,0.2,0.14883760921657085,,,
389120,254,1529,345.10784912109375,95,512.0,0.0,10.058953,0.8584243357181549,0.009990167804062366,0.36531996726989746,0.0004,0.5,0.125845767557621,28.684849739074707,94,0.2,0.16136298514902592,,,
393216,254,1543,344.9151611328125,96,512.0,0.0,10.913744,0.8306475728750229,0.009989895857870579,0.3650049567222595,0.0004,0.5,0.16721081733703613,28.685114860534668,95,0.2,0.1449040425941348,,,
397312,255,1557,344.564697265625,97,512.0,0.0,13.424652,0.8904700726270676,0.009989719837903976,0.35857534408569336,0.0004,0.5,0.1039002537727356,28.685317993164062,96,0.2,0.16219033394008875,,,
400000,,,,,,,19.084885,0.7893256396055222,0.009989758022129536,0.3135943114757538,0.0004,0.5,0.12590255588293076,28.685380935668945,97,0.2,0.12313976138830185,0.0,346.6297607421875,512.0
401408,251,1598,345.32293701171875,98,512.0,0.0,,,,,,,,,,,,,,
405504,251,1613,344.97894287109375,99,512.0,0.0,15.664142,0.7130096852779388,0.009989732876420021,0.30964407324790955,0.0004,0.5,0.17108438909053802,28.685375213623047,98,0.2,0.1221874738112092,,,
409600,251,1627,345.4814453125,100,512.0,0.0,18.655415,0.5973897576332092,0.009989838115870953,0.27461785078048706,0.0004,0.498046875,0.1281774640083313,28.68533992767334,99,0.2,0.09955972339957952,,,
413696,252,1641,346.3377380371094,101,512.0,0.0,31.204733,0.6566731333732605,0.009989829733967781,0.3394380509853363,0.0004,0.5,0.12358301132917404,28.6852970123291,100,0.2,0.13989074854180217,,,
417792,252,1655,345.904052734375,102,512.0,0.0,17.223614,0.7562865763902664,0.009989839978516102,0.3491767644882202,0.0004,0.5,0.21782245486974716,28.6852970123291,101,0.2,0.12138557806611061,,,
421888,252,1670,346.352783203125,103,512.0,0.0,28.75475,0.6979263424873352,0.009989731945097446,0.33907613158226013,0.0004,0.498046875,0.129940964281559,28.685343742370605,102,0.2,0.13633026089519262,,,
425984,252,1685,348.6212463378906,104,512.0,0.0,14.870106,0.7427463531494141,0.00998958945274353,0.3184339702129364,0.0004,0.5,0.1322411559522152,28.68545913696289,103,0.2,0.12841938715428114,,,
430080,252,1700,349.0658264160156,105,512.0,0.0,11.62172,0.7886321842670441,0.009989489801228046,0.3232695460319519,0.0004,0.5,0.14916149526834488,28.685568809509277,104,0.2,0.1312232583295554,,,
434176,253,1714,348.9834899902344,106,512.0,0.0,13.966478,0.762533649802208,0.009989508427679539,0.3194764256477356,0.0004,0.5,0.11764174327254295,28.6856050491333,105,0.2,0.12905354239046574,,,
438272,253,1729,347.5458984375,107,512.0,0.0,11.407586,0.6521229445934296,0.009989370591938496,0.524179220199585,0.0004,0.5,0.21687491238117218,28.685659408569336,106,0.2,0.19787209760397673,,,
442368,253,1744,347.3837890625,108,512.0,0.0,13.573477,0.6318188905715942,0.009989146143198013,0.32094961404800415,0.0004,0.5,0.14489055424928665,28.685823440551758,107,0.2,0.12390980124473572,,,
446464,253,1758,347.6867980957031,109,512.0,0.0,26.27436,0.4934423565864563,0.009988829493522644,0.2888409495353699,0.0004,0.5,0.10075808688998222,28.686067581176758,108,0.2,0.11682748422026634,,,
